L1,L2,L3,,
Beauty & Wellness,Facial Care,Cleansers & Toners,Beauty & Wellness -> Facial Care -> Cleansers & Toners,"Beauty & Wellness -> Facial Care -> Cleansers & Toners,"
Beauty & Wellness,Facial Care,Moisturizers & Creams,Beauty & Wellness -> Facial Care -> Moisturizers & Creams,"Beauty & Wellness -> Facial Care -> Moisturizers & Creams,"
Beauty & Wellness,Facial Care,Masks & Treatments,Beauty & Wellness -> Facial Care -> Masks & Treatments,"Beauty & Wellness -> Facial Care -> Masks & Treatments,"
Beauty & Wellness,Body Care,Body Lotions & Oils,Beauty & Wellness -> Body Care -> Body Lotions & Oils,"Beauty & Wellness -> Body Care -> Body Lotions & Oils,"
Beauty & Wellness,Body Care,Scrubs & Exfoliants,Beauty & Wellness -> Body Care -> Scrubs & Exfoliants,"Beauty & Wellness -> Body Care -> Scrubs & Exfoliants,"
Beauty & Wellness,Body Care,Hand & Foot Care,Beauty & Wellness -> Body Care -> Hand & Foot Care,"Beauty & Wellness -> Body Care -> Hand & Foot Care,"
Beauty & Wellness,Hair,Shampoos & Conditioners,Beauty & Wellness -> Hair -> Shampoos & Conditioners,"Beauty & Wellness -> Hair -> Shampoos & Conditioners,"
Beauty & Wellness,Hair,Hair Treatments & Masks,Beauty & Wellness -> Hair -> Hair Treatments & Masks,"Beauty & Wellness -> Hair -> Hair Treatments & Masks,"
Beauty & Wellness,Hair,Styling Products & Tools,Beauty & Wellness -> Hair -> Styling Products & Tools,"Beauty & Wellness -> Hair -> Styling Products & Tools,"
Beauty & Wellness,Makeup,Face Makeup,Beauty & Wellness -> Makeup -> Face Makeup,"Beauty & Wellness -> Makeup -> Face Makeup,"
Beauty & Wellness,Makeup,Eye Makeup,Beauty & Wellness -> Makeup -> Eye Makeup,"Beauty & Wellness -> Makeup -> Eye Makeup,"
Beauty & Wellness,Makeup,Lips,Beauty & Wellness -> Makeup -> Lips,"Beauty & Wellness -> Makeup -> Lips,"
