Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Ankorstore Casing (product.metafields.asc.casing),Ankorstore VAT (product.metafields.asc.vat),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Ingrédient actif (product.metafields.shopify.active-ingredient),Tranche d’âge (product.metafields.shopify.age-group),Zone du corps (product.metafields.shopify.body-area),Couleur (product.metafields.shopify.color-pattern),Effet conditionneur (product.metafields.shopify.conditioner-effect),Ingrédients constitutifs (product.metafields.shopify.constitutive-ingredients),Fonction cosmétique (product.metafields.shopify.cosmetic-function),Tissu (product.metafields.shopify.fabric),Finition soin des cheveux (product.metafields.shopify.hair-care-finish),Articles de soins capillaires inclus (product.metafields.shopify.hair-care-items-included),Type de perte de cheveux (product.metafields.shopify.hair-loss-type),Type de cheveux (product.metafields.shopify.hair-type),Niveau de maintien (product.metafields.shopify.hold-level),Matériel (product.metafields.shopify.material),Type de crème hydratante (product.metafields.shopify.moisturizer-type),Type d’emballage (product.metafields.shopify.package-type),Certifications et normes de produits (product.metafields.shopify.product-certifications-standards),Forme du produit (product.metafields.shopify.product-form),Effet soin de la peau (product.metafields.shopify.skin-care-effect),Caractéristiques des soins de la peau (product.metafields.shopify.skin-care-features),Convient au type de cheveux (product.metafields.shopify.suitable-for-hair-type),Convient au type de peau (product.metafields.shopify.suitable-for-skin-type),Sexe cible (product.metafields.shopify.target-gender),Objectif du traitement (product.metafields.shopify.treatment-objective),Type de traitement (product.metafields.shopify.treatment-type),Type d’utilisation (product.metafields.shopify.usage-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sac-black-seed-oil-125ml,SAC Huile de graines noires (Black Seed Oil) 125ml,"<p data-start=""1297"" data-end=""1713""><strong data-start=""1297"" data-end=""1328"">SAC Huile de Graines Noires</strong> est un soin naturel polyvalent très apprécié pour ses propriétés fortifiantes et nourrissantes. Elle est idéale pour les routines capillaires ciblant la pousse, la réparation et la protection des cheveux texturés, ainsi que pour les soins corporels.<br data-start=""1578"" data-end=""1581"">Produit à forte demande en boutique Afro &amp; cosmétique naturelle, parfait pour la revente grâce à son usage multiple et sa notoriété.</p>
<p data-start=""1715"" data-end=""1875""><strong data-start=""1715"" data-end=""1875"">✔️ Adaptée aux cheveux crépus, frisés, bouclés et locks<br data-start=""1772"" data-end=""1775"">✔️ Convient aux soins capillaires et corporels<br data-start=""1821"" data-end=""1824"">✔️ Excellent produit à rotation rapide en magasin</strong></p>",SAC,Health & Beauty > Personal Care > Hair Care > Hair Treatments > Hair Oils,CHEVEUX,"Huile Capillaire, Huile&Serum Coporel",true,Title,Default Title,,,,,,,,SAC001,0.0,,0,deny,manual,3.90,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/3087/5985/files/SAC_Black_Seed_Oil.jpg?v=1767022915,1,"SAC Black Seed Oil, Huile de graines noires, Kalonji Oil, Nigella Sativa Oil.",false,Huile de Graines Noires SAC – Soin à Revendre | ABS France Wholesale,"Huile de graines noires SAC pour cheveux et corps, idéale pour la revente en boutique Afro. Produit naturel à forte demande chez ABS France Wholesale.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,2.50,active
vasu-huile-de-nigelle-125ml,VASU Huile De Nigelle 125ml,"<p data-start=""1455"" data-end=""1731"">L’<strong data-start=""1457"" data-end=""1489"">huile de nigelle VASU 125 ml</strong> est un <strong data-start=""1497"" data-end=""1536"">produit capillaire à forte rotation</strong>, apprécié pour ses propriétés <strong data-start=""1567"" data-end=""1612"">anti-chute, fortifiantes et nourrissantes</strong>. Elle répond parfaitement à la demande des clients recherchant des <strong data-start=""1680"" data-end=""1708"">soins naturels efficaces</strong> pour cheveux texturés.</p>
<p data-start=""1733"" data-end=""1963"">Adaptée à la <strong data-start=""1746"" data-end=""1818"">revente en boutique afro, pharmacie, salon de coiffure ou e-commerce</strong>, cette huile peut être utilisée en massage cuir chevelu, bain d’huile ou soin quotidien. Format pratique et marque reconnue facilitant la vente.</p>
<p data-start=""1965"" data-end=""1999""><strong data-start=""1965"" data-end=""1999"">✔️ Avantages pour revendeurs :</strong></p>
<ul data-start=""2000"" data-end=""2184"">
<li data-start=""2000"" data-end=""2034"">
<p data-start=""2002"" data-end=""2034"">Forte demande sur le marché afro</p>
</li>
<li data-start=""2035"" data-end=""2060"">
<p data-start=""2037"" data-end=""2060"">Soin naturel polyvalent</p>
</li>
<li data-start=""2061"" data-end=""2104"">
<p data-start=""2063"" data-end=""2104"">Convient cheveux naturels, frisés, crépus</p>
</li>
<li data-start=""2105"" data-end=""2137"">
<p data-start=""2107"" data-end=""2137"">Excellent rapport qualité/prix</p>
</li>
<li data-start=""2138"" data-end=""2184"">
<p data-start=""2140"" data-end=""2184"">Idéal pour rayons soins &amp; huiles capillaires</p>
</li>
</ul>",VASU,Health & Beauty > Personal Care > Hair Care > Hair Treatments > Hair Oils,CHEVEUX,"Huile Capillaire, Huile&Serum Coporel",true,Title,Default Title,,,,,,,,VAS001,0.0,,0,deny,manual,6.90,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/3087/5985/files/VASU_Huile_De_Nigelle_125ml.jpg?v=1767024630,1,VASU Huile De Nigelle 125ml,false,VASU Huile de Nigelle 125 ml – Huile Capillaire | ABS France Wholesale,"VASU Huile de Nigelle, huile capillaire anti-chute et fortifiante à forte demande. Idéale pour la revente en boutique afro. Disponible chez ABS France Wholesale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
pearlmax-super-stainless-blades,PearlMax Super Stainless Blades,"<p data-start=""1438"" data-end=""1737"">Les <strong data-start=""1442"" data-end=""1495"">PearlMax Super Stainless Steel Blades Double Edge</strong> sont des lames de rasage professionnelles conçues pour répondre aux exigences des <strong data-start=""1578"" data-end=""1612"">barbiers, salons et revendeurs</strong>. Leur acier inoxydable haute performance assure une <strong data-start=""1665"" data-end=""1688"">longue durée de vie</strong>, une coupe précise et une excellente régularité.</p>
<p data-start=""1739"" data-end=""1965"">Très appréciées pour le <strong data-start=""1763"" data-end=""1803"">rasage traditionnel et professionnel</strong>, ces lames offrent un excellent <strong data-start=""1836"" data-end=""1860"">rapport qualité/prix</strong>, une forte rotation en boutique et une compatibilité universelle avec les rasoirs de sûreté double edge.</p>
<p data-start=""1967"" data-end=""2128"">✔ Qualité professionnelle<br data-start=""1992"" data-end=""1995"">✔ Forte demande en barber shops<br data-start=""2026"" data-end=""2029"">✔ Coupe nette et constante<br data-start=""2055"" data-end=""2058"">✔ Idéal pour revente et usage intensif<br data-start=""2096"" data-end=""2099"">✔ Produit à rotation rapide</p>
<p data-start=""2130"" data-end=""2222"">Un produit essentiel pour enrichir votre rayon rasage avec une référence fiable et rentable.</p>",PearlMax,Health & Beauty > Personal Care > Shaving & Grooming > Razors & Razor Blades,ACCESSOIRES,"",true,Title,Default Title,,,,,,,,PMX001,0.0,,0,deny,manual,6.50,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/3087/5985/files/PearlMax_Super_Stainless_Blades.jpg?v=1767025014,1,PearlMax Super Stainless Steel Blades Double Edge Safety Razor,false,PearlMax - Super Stainless Steel Blades | ABS France Wholesale,Lames de rasage PearlMax Double Edge en acier inoxydable pour barbiers et revendeurs Qualité pro et forte rotation Découvre ce produit chez ABS France Wholesale,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unisex,,,,,g,,5.00,active
ns-collection-elastiques-noirs-paquet-300pcs,NS Collection Élastiques noirs Paquet 300pcs,"<p data-start=""1237"" data-end=""1498"">Les <strong data-start=""1241"" data-end=""1298"">élastiques noirs NS Collection – paquet de 300 pièces</strong> sont conçus pour les professionnels de la coiffure, salons, revendeurs et boutiques beauté. Leur élasticité durable assure une tenue fiable pour attaches, sections, tresses et coiffures protectrices.</p>
<p data-start=""1500"" data-end=""1610"">Conditionnement pratique pour la revente ou l’usage intensif en salon, avec un excellent rapport qualité-prix.</p>
<p data-start=""1612"" data-end=""1768""><strong data-start=""1612"" data-end=""1667"">✔ Accessoire coiffure essentiel pour professionnels</strong><br data-start=""1667"" data-end=""1670""><strong data-start=""1670"" data-end=""1709"">✔ Haute résistance – usage intensif</strong><br data-start=""1709"" data-end=""1712""><strong data-start=""1712"" data-end=""1768"">✔ Idéal pour salons, écoles de coiffure et boutiques.</strong></p>",NS Collection,Apparel & Accessories > Clothing Accessories > Hair Accessories > Ponytail Holders,ACCESSOIRES,"",true,Title,Default Title,,,,,,,,NSC001,0.0,,0,deny,manual,0.59,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/3087/5985/files/NS_Collection_Black_Rubber_Band_Pack_300pcs.jpg?v=1767026305,1,NS Collection Élastiques noirs Paquet (Black Rubber Band Pack) 300pcs,false,NS Collection - Élastiques noirs paquet 300 pcs | ABS France Wholesale,"Élastiques noirs NS Collection en lot de 300 pièces, parfaits pour salons et revendeurs. Accessoire coiffure. Découvrez-les chez ABS France Wholesale.",1483,,adult,,,,,,,,,,,,,all-ages,,black,,,,synthetique,,,,,,,,,,,,,,,unisex,,,,,g,,,active
naba-collections-lace-straight-26,"Naba Collections - LACE STRAIGHT 26""","<p data-start=""771"" data-end=""1030"">La perruque <strong data-start=""783"" data-end=""821"">Naba Collections Lace Straight 26""</strong> offre un rendu lisse, long et naturel, idéal pour les salons et revendeurs. Sa lace discrète assure une implantation réaliste et une pose facile. Fibre légère, bonne tenue et forte rotation en point de vente.</p>
<p data-start=""1032"" data-end=""1097""><strong data-start=""1032"" data-end=""1058"">Couleurs disponibles :</strong> 1, 1B, 2, 4, 30, 33, 27, T4/27, T1B/30</p>",Naba Collection,Apparel & Accessories > Clothing Accessories > Hair Accessories > Wigs,ACCESSOIRES,Perruque,true,Color,1,,,,,,,,NCW001,0.0,,0,deny,manual,34.45,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0864/3087/5985/files/Naba_Collections_LACE_STRAIGHT_26.png?v=1767280326,1,"Naba Collections - WIGS - LACE STRAIGHT 26""",false,"Naba Collections - LACE STRAIGHT 26"" - Perruque | ABS France Wholesale","Perruque lace lisse 26"" longue et naturelle, idéale pour salons et revendeurs. Qualité pro et forte demande chez ABS France Wholesale.",181,,adult,,,,,,,,,,,,,adultes,,black; bronze; brown-1; brown; beige; noir,,,,,,,,straight,,,,,,,,,,,feminin,,,,,g,,,active
naba-collections-lace-straight-26,,,,,,,,,1B,,,,,,,,NCW002,0.0,,0,deny,manual,34.45,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-straight-26,,,,,,,,,2,,,,,,,,NCW003,0.0,,0,deny,manual,34.45,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-straight-26,,,,,,,,,4,,,,,,,,NCW004,0.0,,0,deny,manual,34.45,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-straight-26,,,,,,,,,30,,,,,,,,NCW005,0.0,,0,deny,manual,34.45,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
naba-collections-lace-straight-26,,,,,,,,,33,,,,,,,,NCW006,0.0,,0,deny,manual,34.45,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
